text,labels,language
@user @BTS_twt Jung hoseok I vote #BTSARMY for #BestFanArmy at the 2021 #iHeartAwards @BTS_twt,1.0,English
@user Come on! I’m so done with the bullshit! If females r so stupid to allow this then shame on them because they look like fools!,1.6,English
I just want to live life to the fullest,3.0,English
"he looks so smol when he tripped and then he says that it was a nice b-boy move,,, im cackling http",1.6,English
For this I bless you most: You give much and know not that you give at all. - Khalil Gibran #quote,1.6,English
"@user @user This is how it would be for me. It's humiliating, and embarrassing, and a waste of my time and energy...",3.2,English
I need you mf to step your game up cause the way this man came at me I almost threw up .,2.333333333333333,English
@user Thank you for your support. We are going to resist all such dictatorial moves on the part of HED and the provincial government.,1.8,English
@user A piece of candy.,1.0,English
@user They about to cook that mf 😂,1.75,English
@user @free_thinker @iamjohnoliver @AltNews @zoo_bear @user Thank you to Archana and @iamjohnoliver,1.0,English
@user I can surely make your banner DM me,2.25,English
@markpougatch @IanWright0 @seemajaswal @itvfootball @ITV Either of your tournament winners 👌,1.0,English
@Quicktake @user Marijuana is not a performance enhancing drug. Unless you're competing for the gold in snack eating.,1.0,English
@user g une update,1.0,English
@user Beyoncé is overrated,1.2,English
@user He was in coma these two years Hahahaha #BringMehrabBack,1.6,English
@user @user your pretty,2.8,English
he wants to have a partyyy 😭😭😭😭,2.0,English
"But, I’m truly lucky that you always be there for me in a certain time. People come and go, right? :D",3.0,English
tbh i think i like orange juice more than apple juice now,1.2,English
Boys make such cute girls http,2.0,English
This man of God gets it. http,2.0,English
"@user nova, loaded, chiz curls !",2.0,English
@user @user I concur 🤣🤣🤣,1.0,English
@user yasss bestie I've been streaming 24/7 na hahaha manifesting bts to come here in the pH 🥲🙏💕,3.0,English
Eat her out dick her down cuddle up,5.0,English
Vote for @user Cold as your Track of the Week. http http,1.25,English
@user thanks for the follow,1.25,English
@user @user @user I can make it 20k,1.6,English
future fighter is ygo's best opnening becase it's sung by onoken and hosoya and honestly no one can reach their level,1.4,English
Check out my latest #podcast http on #Podbean,1.4,English
Lrt honestly tho. They be having Earth-20493 or sumn.,1.8,English
My bed is covered in sexualized paraffin,3.2,English
@5liveSport How exciting.,1.0,English
It’s my first birthday away from home and I’m low key sad,2.6,English
@user Spring day I vote for #BTS @BTS_twt for #BestDuoGroupOfTheYear at the #iHeartAwards,1.0,English
If a bird shits on ur window that good luck right??,1.2,English
@user Have you ever ate a wax cube? It’s kinda like that. But more crumbly and somehow sadder,1.2,English
@user i was trying to procrastinate by going on twitter but i ended up studying too 😭😭,2.4,English
@user Lol very cute for vaca to match 💅🏽 I only did white like twice 😫🤣 only to match my set.,2.0,English
@user @CorinnaKopf now is not the time...,2.0,English
@user @lemieuxdavid @user @GratefulDead This is a great version as well - http,1.4,English
I can do so much for you,3.25,English
Three years ago Dying Wish played our first show with @user and became a five piece band http,1.8,English
@user @user You have just said your grandchild had a cold how did he have covid? That doesn't mean kids can get it,1.6,English
@user I’d rather have a bathroom sink instead,1.0,English
@user okay wait,1.3333333333333333,English
@user Of course. Tell me anything.,2.5,English
@fox32news That's totally racist. Immigration rules don't apply!,1.75,English
@user @user It shows your parents standard and your locality..from where you belongs!!,2.0,English
@user @user @user I have uploaded the picture of the meme for you,1.2,English
@user guess it worked,1.2,English
I don't see how people can be so nasty. #Hoarders,1.6,English
Dike shouldn’t be in MLS at all,2.2,English
trying to be better everyday.,2.0,English
@user what's stopping u http,2.0,English
my problem is i always decide to have a private concert when im listening to music while “writing” instead of doing any actual writing,1.25,English
"Chromatica, Koatica and Galactica in the same room to see who is the first one born on this galaxy ... http",1.2,English
@WLKY #CriticalThinking skills desperately needed.,1.4,English
Do you ever have the urge to look at Reggie hentai?,3.0,English
utah people decide they want to be motivational speakers with no training or therapy or education whatsoever and it’s so weird,2.2,English
@user @user Yes no problem,2.2,English
normalize acting like iz*one didn't disband,1.25,English
im an obnoxious and weird but people still love me. if your friends dont like you because you're obnoxious and weird: get better friends,2.2,English
@user hey bast thnx for giving me the first stepping stones to realising how flawed christianity was before i left it,1.8,English
@user Good morning. http,2.0,English
have a good night,3.25,English
@user Big erse that 😜😜🤣,2.5,English
what's good yow,1.0,English
The “fuck that job” spirit heavy in this house today 😩,2.0,English
@user Bartman made everything smooth and easy! Would sell to him again :-) LEGIT!,2.4,English
I vote for cardigan by taylor swift for the Best Lyrics award #cardigan #BestLyrics #iHeartAwards the 1,1.2,English
Istg this thing has crack in it http,1.25,English
Earning money by #buyingcars and #sellingcars is not exclusive to a car salesman only. #CarBusiness -- http,1.0,English
Do I want to go to Waikiki with the girls or stay home..I’m going to stay home 😅,2.2,English
"@user 13. madami but ill give a few...people leaving me, not reaching my own expectations and people hating me...",1.8,English
@user So who was it then http,1.3333333333333333,English
I want a man that’s just orgasmic and just understand me and even if he don’t still respects me and loves it all like MMM.,3.25,English
@user Keep driving but i slow down lol,1.6,English
He want my number had to hit him wit that “mmm mmm” http,3.2,English
@sportsiren Happy Birthday!!!! Long live ♊ Mine is June 15th!,1.8,English
"I hate my brother! He just booked his vaccine and isn’t telling me how I can, he is literally the definition of gatekeeper",2.8,English
@user Isn’t that the team that had a YouTube series after it,1.8,English
yooo why is it quiet today🤨🤨,1.2,English
"@user good morning o, come, are you not a Muslim?",2.75,English
Hung. (Over.),1.5,English
When they don't give me the sippy lids at starbucks I almost return the whole drink,1.4,English
@user I can sense him through my aquarius powers as well,1.2,English
@user the pretty reckless. but the rest of the band is men so...,1.75,English
@user I thought it was an AC DC day for you?😜😜😜,3.25,English
"@user @user wow, nice projects, let's go join 🔥 @user @user @user $SANA #Airdrop",1.0,English
@newtgingrich Dems supported Antifa did it,1.4,English
ـ Life is too short don't spend it with people who don't make you happy .🕊 http,2.2,English
"@user @user You have been busy this week, Wendy.",1.6,English
@user @user I was worried it was a broken jar and he swallowed glass.,2.0,English
The lyrics on genius to makeup drawer are wrong it’s “and i know where you’ve been... and you know where i’ve been”,1.0,English
tired of sleeping all day long but still wanting to go to sleep,1.75,English
It's just me or my dick gets bigger every week? 🙊🍆🤔😳🥺🤯 http,3.8,English
Ofc the RM Band are the best (waiting for grief from @user,1.6,English
One thing about Cardi B she knows how to deliver a fire song and a fire feature that never sound the same,1.4,English
Intimacy is the name of the game as the Moon travels through y... More for Aquarius http,2.2,English
The Strom is coming #Nation_wants_Behan_Ji,1.0,English
@user GRRRR,1.0,English
We should call him #OXYGEN_MAN @srinivasiyc RT if agree http,1.6,English
@user Add me to your timeline‼️,3.6666666666666665,English
@user @user @user she's just joking HELP 😭,1.8,English
@WingfieldNFL @MiamiDolphins @AutoNation Great stuff as always!,1.6,English
"@user i know this can be a big lie, just for the part of ""Coco as an Echo fighter in smash"".",1.75,English
"@user happy, bubbly jpop 🥺",1.5,English
have no idea how to face u 🥲,1.5,English
I just can’t have sex with just anyone lol ppl are wild,4.0,English
@user @verge I can't believe you don't value family,3.0,English
I'm voting for @SB19Official for #BBMAsTopSocial. RT to vote too! http,1.4,English
@user @user you're too kind. thank you!!! ^^,1.8,English
@user @user 🥺🥺.. my home.. is astro yes,1.6666666666666667,English
@user Thanks for alerting me to these fabulous oat bars!,1.2,English
"After we are done, she took a pen and marked my name! Inamaanisha?🤔🤔🤔🤔🤔",1.6,English
@user ofc but focus on anyone way more,2.0,English
Two own goals 😂,1.2,English
"@user @user Did I hurt your ethno-obsessed feelings? We're ALL humans, stop with your dangerous role play.",1.25,English
"@user My thoughts are with you and your loved ones, may she RIP",2.75,English
dare i say gods menu was the most impactful kpop release last year,1.0,English
@MiguelDelaney That's quite high in comparison to last week isn't it?,1.8,English
@user @user its glorious 🔥🔥,3.6,English
"@user ""WAH!!! I gotta go see if my bro is okay!"" *runs to Mario's house*",2.0,English
"i’ll be yours through all the years, till the end of time. #MewSuppasit @MSuppasit #MyCandyHeroxMew",4.0,English
I wish only Capricorns could see my posts cause a lot of y’all are so annoying. Idk how big accounts do it.,2.4,English
@user Would you like to talk about it babe,3.2,English
@user You'll never get my sweet blue studs,1.8,English
It is good.,1.0,English
if comfort was a person it would be namjoon,2.2,English
@user have a nice dayy !!,1.0,English
@user Can I have you lol,3.5,English
@user dood seriously 🥲,1.2,English
YES I AM,2.5,English
"@user I like LN, JR and GB!",1.5,English
i jus wish my ass was fat snd my stomach was flat 🙄,3.333333333333333,English
@user Exactly. Fools will come back again later when the prices are back to normal and buy the peak instead. 🤦🏽‍♂️,1.8,English
"@user if scaramouche wants to corrupt me, i think he should go ahead !!",2.4,English
"@user same, except for the classical music, and also the crusades",1.0,English
@JamesMelville @user 😞,1.25,English
@user The wall running/jumping is certainly tricky in places 🙈,1.6,English
Congrats to Maddie Sampson-Brown of @user on your commitment to @user,2.333333333333333,English
Imagine thinking $15 is too much for a tribute 🤣🤣🤣,1.6,English
@user I know but it’s been raining like this for a good 3 weeks,2.0,English
@user @user Your beauty likes the ancient Egyptian pharaohs,3.2,English
@BTS_twt i love u sm 🥺🥺🥺,2.75,English
@user what does that imply,1.25,English
@user @user if i was u i wouldn’t want anyone to see this mr vi,1.75,English
"that every tayriana stan is biased argument is so dumb, the generalization is so strong",2.25,English
Take your meds. Eat. Hydrate. I feel *marginally* better having done all three.,2.2,English
A cookie shaped like Lancer's face. Maybe not a cookie.,2.2,English
@user No because what can a good person do about it? We just agreed it's run by the worst humans alive.,1.75,English
"i just got the biggest heartache, finally, my ending has come",3.4,English
"Help, I am having a bias crisis. Now I don't know if the word 'bias' really exists of you stan TXT http",1.4,English
Horizon: Zero Dawn may leave PlayStation exclusivity for PC - http http,1.0,English
@sportbible The wonder save by Luis Suarez!,1.8,English
@user i was having a good day until i saw this tweet :( /lh,1.2,English
@user you too! good night^^,2.8,English
@user @user You came into our mentions angry writing novels. Take your own advice and get lost LMAOOO,2.0,English
"He will be a Hall of Famer, and maybe the first with his rookie card showing him with a metal bat? 🤔 #ping http",1.0,English
"I’m going to keep a camera on him, and make a day in the life blog with this dude",3.5,English
"You and me, always forever We could stay alone together",3.8,English
Return of the Fairies by NovaKaru http,1.0,English
Canelo broke that mans cheek 😭,2.2,English
"The Dutch maestro has revealed he talked to Barcelona for four weeks, but couldn't come to an agreement 🇳🇱 #LFC http",1.0,English
"@user The advanced box scores were super informative, but I'm not even sure they exist anymore.",1.0,English
@user You think Clemson will come back?,2.0,English
"@user mateosaga and ghostedjay, at least some of the biggest",1.0,English
"Hey, these some of the best Cole records ever. Ever ever.",1.0,English
@user @user No if u can save up £50+ for a mouse u can do it for £200-£400,1.0,English
kırk sekiz i vote #Louies for #BestFanArmy at the #iHeartAwards,1.0,English
The book The Alchemist will always have a special place in my heart.,2.0,English
I’m goin in right on time then leaving immediately on time lol,1.2,English
I need to laugh...what should I watch?,1.6,English
@user well yeah.,1.0,English
@user Cute!! ❤️❤️ enjoy!,2.0,English
Accountant (Dubai) http,1.0,English
Joe Biden is literally going to pay people to come to your house so you can tell them to go fuck themselves. Crazy times,1.6,English
@user This is why I urge people to stay home for this one. Let the Trumpanzees fight it out with the cops while we watch it on TV.,1.0,English
rt and reply ! I vote #BTSArmy for #BestFanArmy at #iHeartAwards @BTS_twt,1.6,English
You know I don’t just say things just to say things,3.0,English
@hariompandeyMP Jai Shree Ram🙏,1.0,English
@MNXMovies @sarahjanedias03 Hii team I have won on 100 mania but I have still not got my prize,1.0,English
@TheView @sunny What happens when a WOMAN makes it on her own and not her fathers coat tail. Congratulations lady !!!,3.0,English
What the fuck was that!!!,2.0,English
@user it exploded,1.0,English
💖@thebonnierotten So damn SEXY!!!! 💖💖💖💖💖💖💖💖💖💖 @user http,2.8,English
It's so fun to package your own stuff 🥺 Thank you for being my first ever orders!! http,1.0,English
@user Praying for you ❤️ http,1.6,English
@user well first time ever then,2.0,English
instagram is full of stolen artwork and they don't even care,2.0,English
@BTS_twt its still here for me??????,2.75,English
New research shows that most new research is just some bozo asking their mate to support some cock-eyed opinion.,1.0,English
You can’t even be nice to a nigga without his dick getting hard ugh .. I really hate y’all,4.0,English
@user @Ninja This is not yt,1.0,English
"Hi, just want to let you know you’re invited to my 1Annual Party 🥳 Read the flyer for more information thank you. http",2.2,English
"@user @user this fellow teacher just did a spit-take, 🤣",2.0,English
why is making playlists the most therapeutic thing ever,1.6,English
@user was the tl silent or was the tl silenced,2.0,English
Shelby Harris is so damn good,1.75,English
@user Yip got the family plan!,2.2,English
If I ask you if you want me to come over and you say “if you want” ima go to the next nigga crib. It’s simple.,2.8,English
Most expected movies to watch in theatre #Sooraraipotru #Valimai We miss #Sooraraipotru movie in theatre. http,1.2,English
"Look at him go! Panda cub Xiao Qi Ji goes rock climbing, gets cuddles from mama (VIDEO) http",1.25,English
"@user I think the real question you’re asking is, who bets any horse or trainer on earth at 5/2 in these fields",1.0,English
@MikeTrout ...Mike Trout coming back and surprising all of us by leading off to start this series????,1.0,English
http [@GOP - you bought him so m/be you should pick up his debt?],1.5,English
/ marcus is all jokes i swear 🤏🏼,1.75,English
@user @Mike_Pence How long one needs to bring the proof. Not a single lawsuit succeeded.,1.0,English
@PrisonPlanet As long as Our tax money is paying Pfizer.,1.25,English
@user @user He should be investigated by #January6thCommittee @January6thCmte @BennieGThompson,1.4,English
@user Homie ugly as hell🤣,2.5,English
"@user You know, I don't think I've ever seen her that happy.",2.75,English
this is our last week in this flat that we've lived in for 2 years :( this SUCKSSS !!! i'm excited for our next place though :)!,3.0,English
@user Good thing you live in Florida. Taxes kill it in Tennessee. I load up every time I head down.,1.4,English
@user I wan dispose these soon so I go just put you for mind,2.0,English
@mkraju Eviction for 3rd offense,2.2,English
The dutch trinities. Nicknamed the greatest trios in football history [A thread] http,1.4,English
@user He wants to play the half,1.0,English
the people who watched them on mcd yes so true the duality of astro’s concept http,1.0,English
All these aggressive feminists shaa😂,1.4,English
"Algeria purchased 450,000 MT of optional origin wheat in a tender on Wednesday. (Agrichart)",1.0,English
Sutton with the keeper! Trojans trail 35-21 with 4:59 remaining. http,1.0,English
"*Turns on the Wedding Singer* “I don’t know what I thought this was about, but it definitely wasn’t a wedding singer” - @user",1.6,English
Chief #PawanKalyan has fully recovered from COVID - 19..! 🥰 Stay safe everyone.. Wear a mask.. http,1.3333333333333333,English
@SarahKSilverman In all fairness that only happens 95% of the time. The rest inherit it.,2.0,English
Probably Jack's mistake. @RechtspraakNL,1.8,English
En garde! These students are learning to fence through @user #742bethedifference http,1.0,English
What about a new hashtag? #TrumpMustTestify,1.4,English
@user can't download :(( http,1.0,English
beauty is pain and there's beauty in everything,1.75,English
@user My body is ready,2.6,English
I wonder how many will have a hangover from hell in the morning 🤭🇬🇧⚽️,1.5,English
@SpaceX You need to be in! webs1te is http,1.6666666666666667,English
@user he’s not even that bad lool just wanted to mock his hair,2.0,English
@user @user @user @MollyJongFast They do it every time and we are Lucy with the football.,2.0,English
I made krówki and its so good,1.6,English
"“Identify your problems, but give your power and energy to solutions.” – Tony Robbins #personaldevelopment #tonyrobbins",1.5,English
After buying rakhi of 10Rs and taking 2000Rs from his brother She: http,2.6666666666666665,English
"When you hit a lick when you was just fucked up it hit different , niggas they could help you but didn’t gon get offended",2.0,English
lowkey wanna talk to him just like the old days,2.5,English
@user 💳💥💥💳💥💥💥 i want them,2.2,English
in September I'm gonna make my 4 years with loona and I'm sensitive about it,2.8,English
@user @PeterAlphonse7 @ptrmadurai @arivalayam @mkstalin super sir. you have reflected my thoughts about @PeterAlphonse7 sir.,1.4,English
@user His impersonation of JR Ewing drinking whisky and cackling genuinely used to crack me up...,1.2,English
@user i don’t have a neck tattoo but u can give me neck,3.2,English
Y'all are absolutely nuts and I love you!! Thank you so much for an epic weekend in the Back 4 Blood beta! http,2.0,English
Scott Morrison says gas will ‘always’ be a major contributor to Australia’s prosperity http with @adamlmorton #auspol,1.6,English
"when taeyong says “i don’t judge,” just know it’s a lie",2.2,English
@user Report _hack00 on Instagram is the only person who successfully restored my disabled in few mins,1.0,English
@user I THOUGHT THIS WAS TODAY MF 😭,2.0,English
@user @user BYE ASF,1.2,English
@user This is so funny to watch honestly you look so goofy lol http,3.0,English
"Good Morning Face Book friends, I do wish you all the happiness that one can get in a days time. TIGRESS AKSHARA FOR BB15",1.5,English
@user Only for short men who want to kiss their girl friends.,2.8,English
Yo this is sad...,1.6,English
@user exactly why i dont want to put them hugh up in my oshi list 🙏,1.6666666666666667,English
@user fofos,2.0,English
@BrandonGowton Or maybe Las Vegas? I’m thinking he wants to be as close to LA as possible for game show hosting purposes.,1.0,English
@user @user Equity is a requirement,1.0,English
I love that fucking nobody in this school is scared of Logan #XMenAtHome,1.8,English
@user @user We’re talmbout a dude that last time he was sharing time on a middling team tweeted out “I hate it here”,1.75,English
@BretWeinstein Which books are being disappeared?,1.0,English
i left my apartment for a painter’s tarp and came back with 3 days to pick up my new couch !,1.3333333333333333,English
shoutout to my ex’s new girl. she can have ALL the problems that come with that. just do me a favor and get him too leave me alone,3.5,English
@user Over the average (by western college education standards) IQ tweet of the day.,1.25,English
This is the year of Greatness! because your potential is endless and you're half way there,1.4,English
# work hard to achieve your goal http,1.2,English
@user hey please checkout my pinned tweet and help if you can by donating a loaf or 2 of bread please 🙏🙏,1.4,English
@CawthornforNC oh my god you are a complete tool,1.0,English
@user Can we share this link with people? I have a long list.,1.0,English
☝️ Iyer ☝️ Rana It's that man again! Shardul Thakur gets two in an over 🔥 #CSKvKKR | #IPLFinal,1.0,English
Watching Mavs/Rockets for lottery reasons and Kelly Olynyk has 10 pts and a career-high 17 rebounds. Rockets up 7 with 48 seconds to go,1.0,English
“WRAiTH” by @MickeyFactz is now on all platforms! 🔥 http,1.2,English
"@user Yeah but i triple dare you to do it, you wont",2.8,English
@user that is really kawaii,1.6,English
"@user pretty badass sign off of that was your last tweet. your presence is missed, sir bullish. I bid you well 🍻",2.2,English
#competition Humanity empowering site:#India is easily pleased with few 2012 #Olympics coins http http,1.0,English
"My first FBG of the year @user . I drafted from the 12 hole, what do you think? http",1.5,English
It took four months but ya girl ordered those neon orange kicks at half price we love a drawn out love story http,1.75,English
"’m not ashamed of what I am and that I have curves, and that I’m thick. I loke my body 💕 http",3.75,English
The only difference between standard socialism and democratic socialism will be the size of the mob at the door to steal what's yours...,1.6,English
@user Empty this country of all illegal immigrants and their supporters,1.0,English
@user would you describe your condition as being AIDS or VAIDS?,2.4,English
US: Housing market moving gradually back into “balance” – Wells Fargo http #UnitedStates #Banks #Housing,1.0,English
@user @lildurk bro💀💀💀 chilllllll,1.5,English
@user beh beh,2.25,English
Thank you for the shitpost. We can hardly be bothered to make our own at this point #longgatogang http,1.25,English
This is what white supremacy looks like. http,1.0,English
@SunnyLeone Nice,1.0,English
@lisamurkowski Ugh! That’s not true. You should be open to a debate on the merits of the Manchin compromise.,1.6,English
"Today you might have to put your money where your mouth is, es... More for Cancer http",1.2,English
@user @user Hold on to that one! A good one indeed!,1.5,English
I love this alligator. got its buns in the sun without a care in the world http,1.4,English
@user @user 😂😂😂they made me laugh. If he remembers,1.4,English
"@user You're 100% fine, don't worry!!",2.4,English
"@user only a few. i sb-ed almost 3/4 of the community because i'm done seeing discourses, so why are they coming back 😭",1.5,English
did u fart? bcs u blew me away😮‍💨,2.6,English
One reason bicycles are a sustainable mode of transportation. http,1.0,English
"@thehill oh boy, it is on.",1.8,English
@user @user Height is just a number,2.6,English
@fred_guttenberg He is full of shit. The George Hamilton tan isn’t fooling anyone.,2.4,English
@user adding on to that it was just blown out of proportion for no reason,1.6666666666666667,English
@user @user @user “Fine them later if you must” is exactly what this directive is. Just increases the fine.,1.4,English
@user god youre so obsessed with me,3.4,English
@user We don't accept military dictatorship. #July2Coup #WhatsHappeningInMyanmar,1.4,English
@user I worked for the barn for almost 2 years. He’s always great.,1.75,English
Need to start a website? Use my code to get your site &amp; up running with reliable web hosting from DreamHost! http,1.0,English
@user @user @user even worse than the spilt field,1.6,English
@TheMoonCarl I think you bull shitting,2.75,English
what’s the point of even being friends if ur gonna be like that lol,3.2,English
My sister bought me one of those yeti travelling mugs and I have to admit this shit is the real deal,1.6,English
If there is something you have been putting off saying because... More for Cancer http,2.0,English
Thanks to Coach Coleman for helping our guys with some speed work today http,1.5,English
@user @user @user @user In the premier league neither have scored against a top 6 team this season,1.0,English
"Easy come, easy go.",1.0,English
where tf is adama,1.4,English
@user She requested for it soooo I guess that's a go signal,2.6,English
This Bulbasaur is winking at me. I wonder if he thinks that I'm his (grass) type? http,2.6,English
O’Shea with our first goal of the season 💙 #WBA http,1.4,English
cris + smiling = the best concept #skamespaña http,1.6,English
"The mind is everything. What you think, you become. Gautama Buddha http",1.75,English
did you finger her back or eat her out or anything? — Ofc duh it led to sex http,4.8,English
That might have been the best episode of power ever,1.4,English
@ThatKevinSmith don’t lie you were a ghost writer on cruel summer 😂😂,1.25,English
@user Fine I'll just play rebirth with my 0 friends x,2.4,English
@user Trust in an injury Nabi mate,1.3333333333333333,English
someone gotta be BIG MAD with you if they saying “you gon be alone all your life” cause you dont want to be with them! 😩😭,1.6,English
"@user morning!!! if it's cold, keep yourself warm okay!! 😊",2.25,English
y’all be excited to get home to your pet? i do 😭,2.6,English
@user @katiehobbs Yeah she is! She sucks!!! Criminal behavior,1.0,English
"@user @charliekirk11 If he had anything, where is it. Back to Parlor.",1.0,English
@user @Dom_Perrottet Rich welfare again. Oz is broke. How are we going to pay for LNP debt ?,1.4,English
@user Where's that?,1.25,English
@user @user They’re just trying to get clicks on their pages that’s all,1.0,English
@user @user @user @_BarringtonII Creative use of the word “tough” to cover the bad half.,1.2,English
@user It's worth a shot. Couldn't hurt and maybe it'll help👍😁,2.0,English
@user She IS,1.6,English
I want a workout partner.,3.6,English
"More than 2,200 have died of coronavirus inside nursing homes but feds aren’t tracking the numbers: report - http",1.0,English
she looked like a princess http,2.2,English
Guess he didn't wanna stay for breakfast... 🙃 http,3.0,English
@user wait i already commented fjjdjcj,1.25,English
maybe that’s not the right word. but she’s crazy.,1.3333333333333333,English
@user we might win the world cup tbh 🤟,1.5,English
@OfficialKwity @user They was 😖,1.6,English
Ana would like you to see her hot ass http http,4.8,English
@user @VICENews Okay. Are you going to pay for it?,1.8,English
@user What’s the OVR of the free one?,1.4,English
"@user Nope, not yet. Not sure how to name them",1.2,English
"@user Hello baby❤️, I would love to buy your feet pictures and videos, DM if interested.",3.333333333333333,English
"@benshapiro She was doing great until Trump started making his ""comeback"". The pressure and cowering between votes worked.",1.2,English
@user I think he deleted it 😭,2.0,English
I want to go back to precedented times...,1.0,English
"@user Aimbot, Cronus, Hacks the works but plenty of positive comments to. Nearly 4k comments man!!",1.5,English
Reggie Jackson is carrying so hard rn,1.2,English
@user It's a pedestrian defense. What's impressive is how readily leftists accept it.,1.2,English
Sometimes I’d feel everything is so terrible then I’d remember “Breathe” by Michelle Branch exists and it’s just one play away,2.2,English
@user Lol hopefully y’all get tired of this soon,1.6,English
@user why do i love and hate this @ the same time,2.8,English
@BrentSpiner Hardly,1.2,English
@user i’ll dm you???,1.8,English
@user @user @mazdaki @UmarCheema1 @user Yes i also think so😢😢,2.0,English
sucks to be someone who feels emotions so deeply whether good or bad,2.6,English
@user Oh!! I should have known it was one of those,1.8,English
